Parallel Integer Sorting and Simulation Amongst CRCW Models.,265.00,437.00
Pattern Matching in Trees and Nets.,150.00,58.00
NP-complete Problems Simplified on Tree Schemas.,128.00,368.00
On the Power of Chain Rules in Context Free Grammars.,264.00,295.00
Schnelle Multiplikation von Polynomen &uuml;ber K&ouml;rpern der Charakteristik 2.,318.00,434.00
A characterization of rational D0L power series.,248.00,123.00
The Derivation of Systolic Implementations of Programs.,139.00,133.00
Fifo Nets Without Order Deadlock.,273.00,256.00
On the Complementation Rule for Multivalued Dependencies in Database Relations.,3.00,385.00
Equational weighted tree transformations.,486.00,264.00
Merged processes: a new condensed representation of Petri net behaviour.,352.00,49.00
Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,127.00,472.00
A Three-Stage Construction for Multiconnection Networks.,278.00,402.00
The Expressive Power of Delay Operators in SCCS.,439.00,291.00
Verification of asynchronous systems with an unspecified component.,412.00,156.00
Calculi for Interaction.,390.00,55.00
A Synthesis of Several Sorting Algorithms.,27.00,240.00
A Workload Model Representative of Static and Dynamic Characteristics.,421.00,171.00
Gray visiting Motzkins.,284.00,347.00
Trace- and failure-based semantics for responsiveness.,330.00,125.00
Branching Processes in the Analysis of the Heights of Trees.,461.00,392.00
Least Upper Bound on the Cost of Optimum Binary Search Trees.,229.00,371.00
The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,457.00,451.00
Invariants  Composition  and Substitution.,299.00,183.00
Maximum Entropy and the <i> G/G/1/N </i> Queue.,252.00,200.00
Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,195.00,60.00
A theory of structural stationarity in the <i>pi</i> -Calculus.,490.00,39.00
Hex ist PSPACE-vollst&auml;ndig.,385.00,136.00
Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,14.00,486.00
Disjunctivity and other properties of sets of pseudo-bordered words.,134.00,79.00
Relational structures model of concurrency.,103.00,499.00
On an Equivalence between Continuation and Stack Semantics.,234.00,62.00
Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,172.00,347.00
A Note on the Density of Inherently Ambiguous Context-free Languages.,320.00,450.00
Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,87.00,355.00
Computational Algorithms for Networks of Queues with Rejection Blocking.,242.00,371.00
Compositional Refinements in Multiple Blackboard Systems.,194.00,261.00
Special issue on "Combining Compositionality and Concurrency": part 1.,94.00,296.00
Automatic verification of concurrent systems using a formula-based compositional approach.,411.00,110.00
On Removing the Machine from the Language.,180.00,180.00
Complete Problems for Space Bounded Subclasses of NP.,405.00,280.00
Efficient controller synthesis for a fragment of MTL<sub>0 &#8734;</sub>.,433.00,204.00
Two Notions of Correctness and Their Relation to Testing.,51.00,324.00
Best Huffman Trees.,74.00,122.00
Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,376.00,338.00
The Parsing Problem for Affix Grammars.,141.00,123.00
On Efficient Entreeings.,289.00,84.00
Persistence of Vector Replacement Systems is Decidable.,420.00,53.00
Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,483.00,439.00
Functional Behavior in Data Spaces.,87.00,388.00
Inductive Completion with Retracts.,258.00,48.00
Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,458.00,498.00
Complete Parameterized Families of Job Scheduling Strategies.,369.00,469.00
Modelling higher-order dual nondeterminacy.,476.00,454.00
Dispatcher Primitives for the Construction of Operating System Kernels.,491.00,445.00
A Note on Multihead Automata and Context-Sensitive Languages,205.00,441.00
A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,272.00,337.00
Compositional schedulability analysis of real-time actor-based systems.,117.00,388.00
Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,307.00,59.00
Worst Case Performance of Weighted Buddy Systems.,56.00,60.00
Contextual Nets.,379.00,364.00
COSY - A System Specification Language Based on Paths and Processes.,81.00,112.00
Applying relation algebra and Rel View to solve problems on orders and lattices.,59.00,111.00
Eliminating Unit Productions from LR Parsers.,243.00,37.00
Attribute (Re)evaluation in OPTRAN.,85.00,272.00
On Parallel Integer Sorting.,357.00,426.00
Domain Independence and the Relational Calculus.,492.00,208.00
Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,438.00,61.00
Bounded Quantification and Relations Recognizable by Finite Automata.,14.00,253.00
A Complete Algebraic Characterization of Behavioral Subtyping.,352.00,62.00
Negotiation as concurrency primitive.,103.00,488.00
Efficient execution of dynamically controllable simple temporal networks with uncertainty.,262.00,146.00
Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,241.00,6.00
Behavioural Approaches to Algebraic Specifications: A Comparative Study.,169.00,6.00
Instruction sequence processing operators.,294.00,452.00
What is Failure? An Approach to Constructive Negation.,299.00,379.00
STG decomposition strategies in combination with unfolding.,64.00,21.00
Quad Trees: A Data Structure for Retrieval on Composite Keys.,363.00,287.00
On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,278.00,218.00
A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,489.00,378.00
Probabilistic bisimulation for realistic schedulers.,222.00,97.00
Explaining the Wheel Sieve.,323.00,134.00
Another Polynomial Homomorphism.,281.00,35.00
Variance Reduction Techniques for the Simulation of Markov Process.,64.00,60.00
State complexity of deletion and bipolar deletion.,223.00,433.00
Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,46.00,102.00
Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,419.00,160.00
Regular and context-free nominal traces.,112.00,378.00
Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,118.00,163.00
Special issue: Synthesis and SYNT 2014.,263.00,223.00
On the Synchronization in Parallel Communicating Grammar Systems.,204.00,292.00
Weakly Context-Sensitive Languages as Model for Programming Languages.,368.00,485.00
Rules of Inference for Procedure Calls.,60.00,151.00
The Construction of Operator Interfaces Based on Logical Input Devices.,40.00,492.00
High Level Tree Transducers and Iterated Pushdown Tree Transducers.,141.00,24.00
Gobang ist PSPACE-vollst&auml;ndig.,278.00,249.00
A note on autodense related languages.,80.00,267.00
Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,128.00,269.00
Optimizing the Costs of Hierarchical Quorum Consensus.,342.00,225.00
Recursive Petri nets.,204.00,41.00
Multitype Multiprogramming Models.,359.00,220.00
Automatic Correction of Syntax-Errors in Programming Languages.,67.00,286.00
Representation and uniformization of algebraic transductions.,350.00,213.00
Concurrent Bisimulations in Petri Nets.,33.00,275.00
Enhanced prefetching and caching strategies for single- and multi-disk systems.,361.00,263.00
Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,194.00,277.00
State space axioms for T-systems.,196.00,230.00
Extended multi bottom-up tree transducers.,342.00,10.00
The Clean Termination of Iterative Programs.,398.00,36.00
Infinite Proof Rules for Loops.,499.00,455.00
Nonfinite Axiomatizability of the Equational Theory of Shuffle.,43.00,169.00
Running a job on a collection of partly available machines  with on-line restarts.,194.00,495.00
Data Refinement by Calculation.,63.00,11.00
Program Refinement in Fair Transition Systems.,473.00,284.00
A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,301.00,491.00
M-Nets: An Algebra of High-Level Petri Nets  with an Application to the Semantics of Concurrent Programming Languages.,384.00,266.00
On the Look-Ahead Problem in Lexical Analysis.,449.00,32.00
A theory of formal synthesis via inductive learning.,467.00,63.00
The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,385.00,277.00
Data Encodings and Their Costs.,252.00,396.00
Hierarchies of Complete Problems.,309.00,399.00
Ein Vollst&auml;ndigkeitssatz f&uuml;r Programme und Schaltkreise.,222.00,228.00
Type-based information flow analysis for the pi-calculus.,476.00,140.00
Sur une Conjecture de S. Greibach.,404.00,343.00
A Conservation Law for G/G/m Queueing Systems.,408.00,239.00
Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,258.00,328.00
Context-Free Graph Grammars and Concatenation of Graphs.,287.00,477.00
On a Class of Recursive Procedures and Equivalent Iterative Ones.,235.00,172.00
Algorithms for Fast Evaluation of Boolean Expressions.,41.00,294.00
A general account of coinduction up-to.,405.00,259.00
A Comparison of Two Synchronizing Concepts.,189.00,206.00
How to Calculate Symmetries of Petri Nets.,76.00,431.00
Nonterminals  Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.,96.00,11.00
Recognizability of graph and pattern languages.,410.00,426.00
The Synthesis Problem of Petri Nets.,34.00,229.00
A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,209.00,381.00
On weighted first-order logics with discounting.,358.00,211.00
A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,37.00,45.00
Demonic  angelic and unbounded probabilistic choices in sequential programs.,497.00,297.00
An Efficiency Preorder for Processes.,67.00,488.00
On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,18.00,119.00
Modeling Splits in File Structures.,244.00,16.00
Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,461.00,413.00
Synchronized regular expressions.,391.00,62.00
On regular tree languages and deterministic pushdown automata.,170.00,236.00
A Modal Logic for Message Passing Processes.,260.00,75.00
Maintaining Range Trees in Secondary Memory. Part I: Partitions.,462.00,336.00
Does indirect addressing matter? - A note.,172.00,260.00
Reasoning Algebraically about Loops.,98.00,312.00
A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,161.00,356.00
Trace Nets and Process Automata.,344.00,492.00
Metric propositional neighborhood logic with an equivalence relation.,63.00,355.00
A Principle of Independence for Binary Tree Searching.,54.00,394.00
Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,173.00,496.00
The Paging Drum Queue: A Uniform Perspective and Further Results.,184.00,403.00
The Undecidability of the Unification and Matching Problem for Canonical Theories.,168.00,140.00
The Programming Language Pascal.,163.00,488.00
Semantics  calculi  and analysis for object-oriented specifications.,367.00,491.00
Inhibitionsfelder.,280.00,321.00
Head and state hierarchies for unary multi-head finite automata.,414.00,251.00
On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,228.00,157.00
The stuttering principle revisited.,4.00,375.00
Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,49.00,465.00
Lazy Structure Sharing for Query Optimization.,302.00,469.00
Fair ambients.,474.00,270.00
Concurrent Access to Data.,432.00,484.00
Relaxed red-black trees with group updates.,56.00,15.00
Generation of Efficient <i> LALR </i> Parsers for Regular Right Part Grammars.,165.00,369.00
A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,227.00,198.00
Priority Conflict-Free Petri Nets.,361.00,472.00
Optimum Multiway Search Trees.,96.00,241.00
Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,240.00,246.00
Parallel Integer Sorting Using Small Operations.,318.00,304.00
Stochastic cooperative distributed grammar systems and random graphs.,11.00,490.00
Performance Evaluation of Fork and Join Synchronization Primitives.,65.00,495.00
Some properties of the disjunctive languages contained in <i>Q</i>.,447.00,421.00
Systolic Automata for VLSI on Balanced Trees.,309.00,343.00
A new natural structural congruence in the pi-calculus with replication.,457.00,127.00
Optimal Multiprogramming.,454.00,241.00
Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,396.00,131.00
On Real-Time Cellular Automata and Trellis Automata.,213.00,264.00
Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,272.00,240.00
Performance Preorder and Competitive Equivalence.,48.00,251.00
A Survey of Normal Form Covers for Context Free Grammars.,480.00,32.00
A Note on Synthesis and Classification of Sorting Algorithms.,154.00,423.00
Liveness of a mutex algorithm in a fair process algebra.,437.00,423.00
Another Look at the "Longest Ascending Subsequence" Problem.,27.00,229.00
Complexity Theory and the Operational Structure of Algebraic Programming Systems.,124.00,103.00
Models for Reactivity.,411.00,393.00
Axioms for Generalized Graphs  Illustrated by a Cantor-Bernstein Proposition.,383.00,350.00
A Proof System for Distributed Processes.,91.00,319.00
Finite State Relational Programs.,425.00,59.00
A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Sto&szlig;.,133.00,363.00
MAT learners for tree series: an abstract data type and two realizations.,377.00,336.00
Exponentially decreasing number of operations in balanced trees.,350.00,383.00
Correctness of the Compiling Process Based on Axiomatic Semantics.,412.00,11.00
Paramodulated Connection Graphs.,273.00,143.00
The Lattice of Data Refinement.,258.00,174.00
Backtracking in Recursive Computations.,488.00,67.00
A first step in characterizing three-element codes.,456.00,207.00
Efficient LL(1) Error Correction and Recovery Using Only Insertions.,259.00,478.00
Formal Derivation of Strongly Correct Concurrent Programs.,349.00,157.00
Efficient Worst-Case Data Structures for Range Searching.,88.00,280.00
A Formal Identification between Tuples and Lists with an Application to List-Arithmetic Categories.,372.00,148.00
Monotone Data Flow Analysis Frameworks.,449.00,141.00
Disambiguating Grammars by Exclusion of Sub-Parse Trees.,493.00,28.00
Axiomatising Finite Delay Operators.,328.00,359.00
Laws of Data Refinement.,266.00,387.00
Representing the integers with powers of 2 and 3.,385.00,372.00
Fast allocation and deallocation with an improved buddy system.,36.00,233.00
A Linear Space Algorithm for the LCS Problem.,474.00,229.00
Refinement of actions for real-time concurrent systems with causal ambiguity.,130.00,467.00
Efficient recognition algorithms for boundary and linear eNCE graph languages.,21.00,2.00
Comparing Locality and Causality Based Equivalences.,222.00,19.00
Proving Relative Lower Bounds for Incremental Algorithms.,314.00,318.00
Zur Theorie der Partiell-linearen Realisierungen endlicher Automaten,466.00,456.00
Data Refinement of Mixed Specifications.,479.00,451.00
A note on pure and p-pure languages.,374.00,182.00
A distributed resource allocation algorithm for many processes.,406.00,414.00
Complexity of Distributed Commit Protocols.,442.00,231.00
Adaptive sorting: an information theoretic perspective.,105.00,268.00
Erratum: Predicative Methodology.,280.00,59.00
The Correctness of the Schorr-Waite List Marking Algorithm.,99.00,219.00
Synchronizable Deterministic Pushdown Automata and the Decidability of their Equivalence.,459.00,463.00
Distance Measures for Point Sets and their Computation.,470.00,425.00
Optimum Reorganization Points for Arbitrary Database Costs.,296.00,346.00
Model-checking iterated games.,7.00,494.00
